"dateplustime";"realvalue"
1.358779102E9;102.0
1.358779102E9;89.0
1.358779102E9;115.0
1.358779099E9;0.450950145721436
1.358779099E9;0.747910022735596
1.358779039E9;65.0
1.358779039E9;86.0
1.358779039E9;120.0
1.358779039E9;289.0
1.358779039E9;125.0
1.35877899E9;477.0
1.358778987E9;0.411569833755493
1.358778987E9;0.677119970321655
1.358778781E9;85.0
1.358778781E9;100.0
1.358778781E9;300.0
1.358778781E9;101.0
1.358778781E9;125.0
1.358778779E9;1.29129004478455
1.358778693E9;1386.0
1.358778647E9;364.0
1.358777276E9;0.626840114593506
1.358777276E9;0.486119985580444
1.358777182E9;97.0
1.358777182E9;1117.0
1.358777182E9;343.0
1.358777182E9;125.0
1.358777182E9;135.0
1.358777179E9;0.656359910964966
1.358777179E9;0.437520027160644
1.358777113E9;74.0
1.358777113E9;111.0
1.358777114E9;102.0
1.358777114E9;239.0
1.358777114E9;306.0
1.35877706E9;434.0
1.358777057E9;0.472059965133667
1.358777057E9;0.800090074539185
1.358776969E9;1123.0
1.358776969E9;1128.0
1.358776969E9;107.0
1.358776969E9;489.0
1.358776969E9;228.0
1.358776964E9;0.832920074462891
1.358776964E9;0.36424994468689
1.358776904E9;72.0
1.358776904E9;75.0
1.358776904E9;100.0
1.358776904E9;354.0
1.358776904E9;126.0
1.358776855E9;356.0
1.358775108E9;106.0
1.358775108E9;279.0
1.358775055E9;97.0
1.358775055E9;269.0
1.358773323E9;205.0
1.358773323E9;404.0
1.358773267E9;116.0
1.358773267E9;284.0
1.358771851E9;0.702920198440552
1.358771851E9;0.49970006942749
1.358771765E9;97.0
1.358771766E9;101.0
1.358771765E9;112.0
1.358771766E9;277.0
1.358771766E9;111.0
1.358771762E9;0.388769865036011
1.358771762E9;0.638890027999878
1.358771702E9;83.0
1.358771702E9;101.0
1.358771703E9;79.0
1.358771703E9;265.0
1.358771703E9;115.0
1.358771656E9;375.0
1.358771653E9;0.442559957504273
1.358771653E9;0.692469835281372
1.358771567E9;80.0
1.358771567E9;119.0
1.358771567E9;1134.0
1.358771567E9;286.0
1.358771567E9;95.0
1.358771564E9;0.631510019302368
1.358771564E9;0.412860155105591
1.358771504E9;90.0
1.358771504E9;72.0
1.358771504E9;8.6398104E7
1.358771504E9;305.0
1.358771504E9;106.0
1.358771456E9;350.0
1.358770065E9;0.691139936447144
1.358770065E9;0.394160032272339
1.358769975E9;100.0
1.358769976E9;1122.0
1.358769976E9;347.0
1.358769976E9;104.0
1.358769975E9;139.0
1.358769971E9;0.767539978027344
1.358769971E9;0.267420053482056
1.358769906E9;86.0
1.358769906E9;69.0
1.358769906E9;296.0
1.358769906E9;111.0
1.358769906E9;104.0
1.358769852E9;348.0
1.358769849E9;0.455000162124634
1.358769849E9;0.689290046691895
1.358769759E9;89.0
1.358769759E9;96.0
1.358769759E9;86.0
1.358769759E9;356.0
1.358769759E9;112.0
1.358769756E9;0.425489902496338
1.358769756E9;0.628509998321533
1.358769694E9;87.0
1.358769693E9;1423.0
1.358769694E9;98.0
1.358769694E9;313.0
1.358769693E9;106.0
1.358769644E9;360.0
1.358767915E9;292.0
1.358767915E9;89.0
1.35876786E9;115.0
1.35876786E9;278.0
1.358766114E9;89.0
1.358766114E9;264.0
1.358766059E9;265.0
1.358766059E9;100.0
1.358765107E9;0.448149919509888
1.358765107E9;0.667010068893433
1.358764898E9;1135.0
1.358764898E9;77.0
1.358764898E9;295.0
1.358764898E9;101.0
1.358764898E9;99.0
1.358764612E9;0.547990083694458
1.358764612E9;0.64165997505188
1.358764526E9;87.0
1.358764527E9;87.0
1.358764527E9;304.0
1.358764526E9;110.0
1.358764527E9;119.0
1.358764523E9;0.455780029296875
1.358764523E9;0.674430131912231
1.358764463E9;1114.0
1.358764463E9;95.0
1.358764463E9;107.0
1.358764463E9;285.0
1.358764463E9;106.0
1.358764361E9;551.0
1.358763204E9;0.449130058288574
1.358763204E9;0.605479955673218
1.358763083E9;260.0
1.358763083E9;101.0
1.358763083E9;73.0
1.358763083E9;115.0
1.358762912E9;735.0
1.358762722E9;0.655529975891113
1.358762722E9;0.374379873275757
1.358762615E9;86.0
1.358762615E9;107.0
1.358762615E9;259.0
1.358762614E9;1102.0
1.358762614E9;103.0
1.358762558E9;631.0
1.358760759E9;279.0
1.358760759E9;91.0
1.358759039E9;1164.0
1.358757842E9;0.527199983596802
1.358757715E9;279.0
1.358757715E9;98.0
1.358757544E9;601.0
1.358757354E9;0.390140056610107
1.358757354E9;0.733809947967529
1.358757235E9;296.0
1.358757235E9;115.0
1.358757169E9;454.0
